augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_3L_3ens,ridge,0.001772,0.029629,0.047604,3367,337,10,62,24,0,288,29.0,8.0,57.0,24,0.048796,0.061766
identity,ridge,0.001785,0.029892,0.034887,3367,337,10,38,0,0,0,,,,24,0.029158,0.048163
rff_10,ridge,0.001787,0.02987,0.039496,3367,337,10,48,10,0,140,,,,24,0.04084,0.047663
rff_30,ridge,0.001788,0.029928,0.041299,3367,337,10,68,30,0,420,,,,24,0.037417,0.053503
qunified_z_8q_3L_3ens_pca,ridge,0.001789,0.029785,0.030053,3367,337,10,62,24,0,288,29.0,8.0,57.0,24,0.026993,0.064527
rff_50,ridge,0.001794,0.030042,0.040622,3367,337,10,88,50,0,700,,,,24,0.041267,0.05924
rff_96,ridge,0.00181,0.029981,0.052226,3367,337,10,134,96,0,1344,,,,24,0.061535,0.05581
interaction_log,ridge,0.002013,0.031621,0.049531,3367,337,10,157,119,0,0,,,,24,0.056921,0.094785
poly_deg2_interact,ridge,0.002033,0.031881,0.013441,3367,337,10,129,91,0,0,,,,24,0.018807,0.06984
poly_deg2,ridge,0.002102,0.03244,0.033134,3367,337,10,143,105,0,0,,,,24,0.046046,0.102502
