augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,ic_mean_rolling_3m,ic_std_rolling_3m
identity,ridge,0.001746,0.029497,0.066603,3367,337,10,14,0,0,0,,,,0.069509,0.06404
qunified_z_8q_3L_3ens,ridge,0.001748,0.029667,0.090966,3367,337,10,38,24,0,288,29.0,8.0,57.0,0.087849,0.072522
rff_10,ridge,0.00176,0.029729,0.059165,3367,337,10,24,10,0,140,,,,0.066319,0.051145
qunified_z_8q_3L_3ens_pca,ridge,0.001764,0.029701,0.056289,3367,337,10,38,24,0,288,29.0,8.0,57.0,0.041809,0.077508
rff_50,ridge,0.001769,0.029808,0.065823,3367,337,10,64,50,0,700,,,,0.073885,0.051044
rff_30,ridge,0.00177,0.029792,0.053467,3367,337,10,44,30,0,420,,,,0.036139,0.066669
rff_96,ridge,0.001798,0.030196,0.053697,3367,337,10,110,96,0,1344,,,,0.064032,0.056489
poly_deg2_interact,ridge,0.001958,0.031345,0.027154,3367,337,10,105,91,0,0,,,,0.025308,0.068409
poly_deg2,ridge,0.001982,0.031661,0.05963,3367,337,10,119,105,0,0,,,,0.061961,0.090184
interaction_log,ridge,0.002006,0.031669,0.051689,3367,337,10,133,119,0,0,,,,0.057028,0.094803
