augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_2L_3ens,ridge,0.00175,0.029791,0.116777,3677,368,10,38,24,0,216,20.0,8.0,41.0,0.119642,0.074409
qunified_z_8q_5L_3ens,ridge,0.001756,0.029707,0.092867,3677,368,10,38,24,0,432,47.0,8.0,89.0,0.098488,0.066704
qunified_z_8q_3L_3ens,ridge,0.00176,0.029771,0.088185,3677,368,10,38,24,0,288,29.0,8.0,57.0,0.097359,0.068454
identity,ridge,0.001762,0.029772,0.068011,3677,368,10,14,0,0,0,,,,0.082341,0.072672
qunified_xyz_8q_3L_3ens,ridge,0.001772,0.029898,0.09549,3677,368,10,86,72,0,288,29.0,8.0,57.0,0.099261,0.060491
qunified_zzz_8q_3L_3ens,ridge,0.001772,0.029965,0.113264,3677,368,10,122,108,0,288,29.0,8.0,57.0,0.117955,0.068651
qunified_z_8q_3L_3ens_pca,ridge,0.001778,0.029939,0.053552,3677,368,10,38,24,0,288,29.0,8.0,57.0,0.043094,0.061249
rff_10,ridge,0.001778,0.029926,0.050858,3677,368,10,24,10,0,140,,,,0.061234,0.075496
qunified_z_6q_3L_3ens,ridge,0.001783,0.02994,0.064356,3677,368,10,32,18,0,216,23.0,6.0,43.0,0.056999,0.088576
rff_30,ridge,0.001783,0.030018,0.061956,3677,368,10,44,30,0,420,,,,0.070006,0.067679
qunified_z_8q_3L_3ens_linear,ridge,0.001784,0.029938,0.066198,3677,368,10,38,24,0,288,16.0,8.0,54.0,0.062235,0.059246
rff_96,ridge,0.001795,0.030312,0.079375,3677,368,10,110,96,0,1344,,,,0.083575,0.05781
qunified_xyz_6q_3L_3ens,ridge,0.001797,0.029967,0.069052,3677,368,10,68,54,0,216,23.0,6.0,43.0,0.060993,0.079241
qunified_zzz_6q_3L_3ens,ridge,0.001797,0.030043,0.072635,3677,368,10,77,63,0,216,23.0,6.0,43.0,0.062627,0.083617
rff_50,ridge,0.001798,0.030301,0.061105,3677,368,10,64,50,0,700,,,,0.060869,0.085607
poly_deg2_interact,ridge,0.001979,0.031726,0.024004,3677,368,10,105,91,0,0,,,,0.019179,0.067846
poly_deg2,ridge,0.002001,0.031995,0.053568,3677,368,10,119,105,0,0,,,,0.049984,0.092889
interaction_log,ridge,0.002022,0.031993,0.048934,3677,368,10,133,119,0,0,,,,0.0498,0.093647
