augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_3L_3ens,ridge,0.001753,0.029659,0.086944,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.078758,0.061381
qunified_zzz_8q_3L_3ens,ridge,0.001765,0.029704,0.097284,3367,337,10,149,108,0,288,29.0,8.0,57.0,24,0.094541,0.069146
qunified_z_8q_2L_3ens,ridge,0.00177,0.029733,0.077324,3367,337,10,65,24,0,216,20.0,8.0,41.0,24,0.070863,0.069824
qunified_xyz_8q_3L_3ens,ridge,0.001776,0.029837,0.092208,3367,337,10,113,72,0,288,29.0,8.0,57.0,24,0.071566,0.088356
identity,ridge,0.001777,0.029754,0.040791,3367,337,10,41,0,0,0,,,,24,0.040641,0.056108
qunified_z_8q_5L_3ens,ridge,0.001779,0.029704,0.054004,3367,337,10,65,24,0,432,47.0,8.0,89.0,24,0.046908,0.046388
rff_30,ridge,0.001787,0.029908,0.04569,3367,337,10,71,30,0,510,,,,24,0.039425,0.067381
rff_10,ridge,0.001787,0.029898,0.034724,3367,337,10,51,10,0,170,,,,24,0.036733,0.052129
qunified_z_8q_3L_3ens_linear,ridge,0.001792,0.029891,0.043594,3367,337,10,65,24,0,288,16.0,8.0,54.0,24,0.027781,0.065284
qunified_z_6q_3L_3ens,ridge,0.001801,0.029935,0.033408,3367,337,10,59,18,0,216,23.0,6.0,43.0,24,0.026483,0.069073
qunified_z_8q_3L_3ens_pca,ridge,0.001801,0.03013,0.03248,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.031714,0.041166
rff_50,ridge,0.001801,0.030114,0.039708,3367,337,10,91,50,0,850,,,,24,0.03043,0.062475
qunified_xyz_6q_3L_3ens,ridge,0.001802,0.029967,0.068056,3367,337,10,95,54,0,216,23.0,6.0,43.0,24,0.07028,0.07554
rff_96,ridge,0.001806,0.030222,0.057242,3367,337,10,137,96,0,1632,,,,24,0.06354,0.06019
qunified_zzz_6q_3L_3ens,ridge,0.001826,0.030046,0.067007,3367,337,10,104,63,0,216,23.0,6.0,43.0,24,0.059274,0.083886
poly_deg2_interact,ridge,0.002137,0.032702,0.047194,3367,337,10,177,136,0,0,,,,24,0.052758,0.059644
poly_deg2,ridge,0.002165,0.033086,0.069279,3367,337,10,194,153,0,0,,,,24,0.071876,0.079821
interaction_log,ridge,0.002232,0.033332,0.058174,3367,337,10,211,170,0,0,,,,24,0.066403,0.085096
