augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features
rff_10,ridge,0.001804,0.029399,0.005993,170,17,10,51,10,0,170,,,,24
identity,ridge,0.001805,0.029461,-0.002567,170,17,10,41,0,0,0,,,,24
qunified_z_8q_3L_3ens_pca,ridge,0.001806,0.029438,0.010905,170,17,10,65,24,0,288,29.0,8.0,57.0,24
qunified_z_8q_3L_3ens_linear,ridge,0.001807,0.029467,0.014206,170,17,10,65,24,0,288,16.0,8.0,54.0,24
qunified_z_8q_5L_3ens,ridge,0.001812,0.029629,0.014511,170,17,10,65,24,0,432,47.0,8.0,89.0,24
qunified_zzz_8q_3L_3ens,ridge,0.001822,0.029566,0.028839,170,17,10,149,108,0,288,29.0,8.0,57.0,24
qunified_z_8q_3L_3ens,ridge,0.001826,0.029552,-0.013156,170,17,10,65,24,0,288,29.0,8.0,57.0,24
qunified_xyz_6q_3L_3ens,ridge,0.001837,0.029858,0.028631,170,17,10,95,54,0,216,23.0,6.0,43.0,24
qunified_z_8q_2L_3ens,ridge,0.001838,0.029815,0.009249,170,17,10,65,24,0,216,20.0,8.0,41.0,24
qunified_xyz_8q_3L_3ens,ridge,0.001841,0.029543,0.006014,170,17,10,113,72,0,288,29.0,8.0,57.0,24
rff_30,ridge,0.001844,0.029677,-0.04777,170,17,10,71,30,0,510,,,,24
rff_96,ridge,0.001844,0.0298,0.015712,170,17,10,137,96,0,1632,,,,24
qunified_z_6q_3L_3ens,ridge,0.001844,0.030092,-0.005818,170,17,10,59,18,0,216,23.0,6.0,43.0,24
qunified_zzz_6q_3L_3ens,ridge,0.001861,0.030142,-0.004121,170,17,10,104,63,0,216,23.0,6.0,43.0,24
rff_50,ridge,0.001883,0.03006,-0.052087,170,17,10,91,50,0,850,,,,24
poly_deg2_interact,ridge,0.002173,0.03278,0.023758,170,17,10,177,136,0,0,,,,24
interaction_log,ridge,0.002215,0.033075,0.010785,170,17,10,211,170,0,0,,,,24
poly_deg2,ridge,0.002312,0.033797,0.014198,170,17,10,194,153,0,0,,,,24
