augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features
qunified_z_8q_5L_3ens,ridge,0.001804,0.029607,0.030818,170,17,10,65,24,0,432,47.0,8.0,89.0,24
identity,ridge,0.001826,0.029634,-0.017714,170,17,10,41,0,0,0,,,,24
qunified_xyz_8q_3L_3ens,ridge,0.001826,0.029728,0.02226,170,17,10,113,72,0,288,29.0,8.0,57.0,24
qunified_z_8q_3L_3ens_pca,ridge,0.001829,0.029787,-0.002471,170,17,10,65,24,0,288,29.0,8.0,57.0,24
qunified_z_8q_3L_3ens,ridge,0.001837,0.029764,-0.016298,170,17,10,65,24,0,288,29.0,8.0,57.0,24
rff_10,ridge,0.001838,0.029672,-0.023684,170,17,10,51,10,0,170,,,,24
rff_30,ridge,0.001838,0.030036,0.01137,170,17,10,71,30,0,510,,,,24
qunified_z_8q_2L_3ens,ridge,0.001839,0.029704,-0.023161,170,17,10,65,24,0,216,20.0,8.0,41.0,24
qunified_xyz_6q_3L_3ens,ridge,0.001852,0.029717,0.00506,170,17,10,95,54,0,216,23.0,6.0,43.0,24
qunified_z_6q_3L_3ens,ridge,0.001853,0.029786,-0.012096,170,17,10,59,18,0,216,23.0,6.0,43.0,24
rff_96,ridge,0.001861,0.030267,-0.002821,170,17,10,137,96,0,1632,,,,24
qunified_z_8q_3L_3ens_linear,ridge,0.001862,0.029829,-0.035311,170,17,10,65,24,0,288,16.0,8.0,54.0,24
qunified_zzz_8q_3L_3ens,ridge,0.001866,0.030108,-0.023049,170,17,10,149,108,0,288,29.0,8.0,57.0,24
qunified_zzz_6q_3L_3ens,ridge,0.001877,0.030032,-0.01084,170,17,10,104,63,0,216,23.0,6.0,43.0,24
rff_50,ridge,0.001886,0.029979,-0.060293,170,17,10,91,50,0,850,,,,24
poly_deg2_interact,ridge,0.002199,0.033073,0.013067,170,17,10,177,136,0,0,,,,24
interaction_log,ridge,0.002235,0.033276,0.001484,170,17,10,211,170,0,0,,,,24
poly_deg2,ridge,0.002344,0.034112,0.004215,170,17,10,194,153,0,0,,,,24
