augmenter_name,model_name,mse_mean,mse_std,mae_mean,mae_std,corr_mean,corr_std,mse_r1_mean,mse_r1_std,mse_r2_mean,mse_r2_std,corr_r1_mean,corr_r2_mean,mse_train_mean,mse_train_std,mse_train_r1_mean,mse_train_r2_mean,corr_train_mean,n_trainable_params,n_random_params,effective_rank,nonlinearity_score,feature_target_alignment,coef_l2_norm,n_features,n_augmented,circuit_depth,qubit_count,wall_clock_mean,n_seeds
identity,ridge,4.6819004,0.0646153113108649,1.6412356,0.010500879310800527,0.9312248000000001,0.0005794071970557759,3.2251890000000003,0.05600731918687058,9.021438,0.29579014179482044,0.7772676000000001,0.9353246000000001,4.6763128,0.07500833002873772,3.202547,9.2111478,0.930347,0,0,0.0,,,4.636676400000001,4,0,,,0.02136,5
interaction_log,ridge,2.6222044,0.6577088107166424,1.136799,0.029675922454070355,0.9622932000000001,0.00938241078827825,2.1143852,0.12432080420307785,4.1279878,2.925869806673086,0.8038876,0.9430386000000001,2.0578892,0.08530738607647052,2.107039,1.9078182,0.9699638,0,0,8.153279999999999,0.6336307999999999,0.3256456,11.1492606,18,14,,,0.02212,5
oracle,ridge,2.4093586,0.020284020257335486,1.2282864,0.011193290258007242,0.9652201999999999,0.0007060514853747889,2.3576053999999997,0.04600760461923664,2.5629014,0.13295928833406118,0.7787794,0.9713752,2.3854992,0.04053932312212412,2.3343596,2.5416116000000004,0.9650898,0,0,1.3489999999999998,0.7312176,0.519235,4.8255202,6,2,,,0.023119999999999998,5
poly_deg2,ridge,2.8816402,1.0255064193998011,1.177711,0.015897582552073734,0.9589166,0.013706917589305052,2.1076216,0.1403683694651325,5.1761816000000005,4.419592594670894,0.8047874,0.9310807999999999,2.2096282,0.047404293162117604,2.1004264,2.5495588000000002,0.9677111999999999,0,0,2.2393799999999997,0.5281134,0.32917260000000004,4.1414092,14,10,,,0.01952,5
poly_deg2_interact,ridge,3.1036136,0.8808505922395694,1.2356757999999999,0.019541821939112976,0.9553229999999999,0.012569844310889438,2.2681398,0.13780534605268416,5.5827598,3.828650732420914,0.7882326,0.9234007999999999,2.4312916,0.04364508133570139,2.2452006,3.0078032,0.9644152,0,0,4.664499999999999,0.4541764,0.2779142,4.3278624,10,6,,,0.02248,5
rff_10,ridge,2.5715522,0.0771416529003624,1.2199,0.05541547192797333,0.9628428,0.0014836885454838334,1.9245354,0.31714860012665985,4.495869000000001,0.6831850617457175,0.8232796,0.9384798,2.4971102,0.14975198720451072,1.9085078,4.3147216,0.9634344,0,40,8.36712,0.6528386,0.22266,15.057389,14,10,,,0.0222,5
rff_15,ridge,2.3930388000000002,0.07683120313193072,1.1809857999999998,0.02521151800665721,0.9654702000000001,0.0011268064163821822,2.0625158,0.2108325818136277,3.3742981999999997,0.700502176538874,0.8097394,0.9517944,2.3494058,0.07379041009304659,2.0573828,3.2563986,0.9656114,0,60,11.580960000000001,0.6130950000000001,0.2430536,12.5094916,19,15,,,0.026539999999999998,5
rff_21,ridge,2.1507858,0.10463235808869066,1.1490728000000001,0.016460913209782678,0.9690334,0.0014755654170520523,2.0896584,0.07319531377280916,2.3312778,0.5387652331133665,0.8060921999999999,0.9666821999999999,2.1080270000000003,0.08450372324045848,2.0646418,2.2455081999999997,0.9692028,0,84,15.052119999999999,0.6078636000000001,0.3064368,21.1814592,25,21,,,0.02388,5
rff_30,ridge,2.1762138,0.055120802907795134,1.1210798,0.03490016218730214,0.9686489999999999,0.0012453945158061278,1.9646916,0.2248816856911652,2.8034764,0.592132377392336,0.8219496,0.9598912,2.1036622,0.07926515500331768,1.9538444,2.571168,0.9692896,0,120,18.764000000000003,0.48768139999999993,0.28840560000000004,28.114678200000004,34,30,,,0.030459999999999997,5
rff_36,ridge,1.9472394000000002,0.14512695094743766,1.07443,0.05590548432846276,0.9719802,0.0023587064675368308,1.7309709999999998,0.28881151874449185,2.5887966,0.306793277157111,0.8421882,0.9627708,1.8877592,0.14094975024702955,1.7210616,2.4058566,0.9724869999999999,0,144,23.24364,0.5940938,0.3260466,36.845915000000005,40,36,,,0.0332,5
