augmenter_name,model_name,mse_mean,mse_std,mae_mean,mae_std,corr_mean,corr_std,mse_r1_mean,mse_r1_std,mse_r2_mean,mse_r2_std,corr_r1_mean,corr_r2_mean,mse_train_mean,mse_train_std,mse_train_r1_mean,mse_train_r2_mean,corr_train_mean,n_trainable_params,n_random_params,effective_rank,nonlinearity_score,feature_target_alignment,coef_l2_norm,lasso_active_fraction,n_features,n_augmented,circuit_depth,qubit_count,wall_clock_mean,n_seeds
angle_strong_10q_2L,lasso,1.9934908,0.17860225853051234,1.094603,0.05625351747668757,0.9713226,0.0029259068337867708,1.7561693999999999,0.2933313361044128,2.6986280000000002,0.16857701515776102,0.8398771999999999,0.961476,1.936562,0.1518625549683002,1.7526184,2.5068232000000004,0.9717794,0,60,14.108600000000001,0.7287946,0.3001828,50.3567206,0.44745740000000006,59,55,2.0,10.0,0.035339999999999996,5
angle_strong_10q_2L,ridge,1.6916688,0.23380784406259772,1.0079454,0.07604924157281259,0.9756969999999999,0.0036227880837830114,1.5261524,0.3388094941782181,2.183362,0.1011502633807744,0.8624098,0.9688017999999999,1.6297518,0.2227372724157319,1.5132032,1.9923924,0.9763075999999999,0,60,14.108600000000001,0.7287946,0.3001828,304.9088514,,59,55,2.0,10.0,0.0412,5
angle_strong_13q_2L,lasso,1.7977008,0.18701911857133763,1.0449922,0.06780795523904254,0.9741595999999999,0.0029501933495958838,1.6903738000000001,0.3263383815975375,2.1149918,0.24215442459967562,0.8464560000000001,0.9699177999999999,1.7703001999999999,0.19465008585073895,1.6836486000000002,2.0410893999999997,0.9742314000000001,0,78,20.360059999999997,0.8038716000000001,0.215618,23.861191,0.20842100000000002,95,91,2.0,13.0,0.050660000000000004,5
angle_strong_13q_2L,ridge,1.5520914000000001,0.242158294634522,0.9699399999999999,0.08023984421719675,0.9777321999999999,0.0036796272501436705,1.42326,0.3294443721108315,1.9356474,0.08870629755434505,0.8724757999999999,0.9725068,1.502947,0.261307682437773,1.408346,1.7975648,0.9781722,0,78,20.360059999999997,0.8038716000000001,0.215618,335.43980999999997,,95,91,2.0,13.0,0.07067999999999999,5
angle_strong_3q_2L,lasso,2.1799528,0.02997819818968436,1.1412065999999998,0.018300445781455815,0.9685954000000001,0.0005456347679538842,2.0218182,0.19886692193197936,2.6479046,0.6349077886833646,0.8134672000000001,0.9632684000000001,2.1644866,0.03882368741245482,2.0165022,2.6234824,0.9683820000000001,0,18,4.50658,0.6963978,0.2666696,15.409955200000002,0.9800000000000001,10,6,2.0,3.0,0.0054600000000000004,5
angle_strong_3q_2L,ridge,2.180058,0.030168524748485786,1.140712,0.01831465978389992,0.9685940000000001,0.0005661514814959221,2.0319608,0.19763084338660292,2.618106,0.6214815529382186,0.8125399999999999,0.9634848,2.1622318,0.03910727928659827,2.0265633999999997,2.5836378,0.968415,0,18,4.50658,0.6963978,0.2666696,16.2568658,,10,6,2.0,3.0,0.0168,5
angle_strong_4q_1L,lasso,2.2304104,0.037505878329936515,1.1642772000000001,0.009837276233795642,0.9678574000000001,0.0008386866518551412,2.2143015999999998,0.06746478159232408,2.2775938,0.13262773558234364,0.7949024,0.9690086000000001,2.2291651999999997,0.028636542733018567,2.2129458,2.2818514,0.9674122,0,12,3.8836,0.654752,0.3518404,23.9940248,0.8,14,10,2.0,4.0,0.01634,5
angle_strong_4q_1L,ridge,2.2350104,0.04681217374038515,1.1576906,0.012775356895210381,0.967792,0.0009014749025902239,2.1754236,0.08099132338590363,2.4116334000000004,0.15498821393512496,0.7988702,0.9664998,2.1958936000000002,0.020838537599841226,2.1739862000000003,2.2662934,0.967907,0,12,3.8836,0.654752,0.3518404,40.731507199999996,,14,10,2.0,4.0,0.01828,5
angle_strong_4q_2L,lasso,2.520632,0.02507153609175162,1.2291844,0.020423075326698445,0.9635866,0.0006662798210962276,2.1259884,0.1973936682148137,3.6938036,0.5472237702643225,0.8056736000000001,0.9469382,2.4757767999999998,0.057270828885218644,2.1051402,3.6202242,0.9637466,0,24,5.8417200000000005,0.5250728,0.3830604,17.382663400000002,1.0,14,10,2.0,4.0,0.00826,5
angle_strong_4q_2L,ridge,2.5173806,0.026119188325826707,1.2279902,0.020082743467962693,0.9636342000000001,0.0006805954745661836,2.1396802,0.19721897412951933,3.6401168,0.545449108030896,0.8043098000000001,0.9475545999999999,2.4706856,0.056457058595892354,2.1190978,3.5566348000000003,0.9638213999999999,0,24,5.8417200000000005,0.5250728,0.3830604,18.820849,,14,10,2.0,4.0,0.01828,5
angle_strong_4q_3L,lasso,2.5469054,0.16533272275414818,1.1988044,0.015163057666579013,0.963207,0.002259636807099768,2.0560490000000002,0.11371720659821011,4.0069904,0.9323416916813816,0.812996,0.9425889999999999,2.4298302,0.09493380992407291,2.043387,3.626151,0.9644298000000001,0,36,7.20856,0.647502,0.2997598,22.629539,0.9714284,14,10,2.0,4.0,0.007000000000000001,5
angle_strong_4q_3L,ridge,2.5456068,0.17022489301861812,1.196139,0.015262710489949082,0.9632244,0.0023369277481342893,2.0428034,0.11268407807361253,4.0414140000000005,0.9409726435348693,0.8140278000000001,0.9417342,2.423698,0.09802945229623584,2.0302999999999995,3.641634,0.9645194,0,36,7.20856,0.647502,0.2997598,24.5284716,,14,10,2.0,4.0,0.01822,5
angle_strong_5q_2L,lasso,2.3862232,0.027163406297811814,1.2000958,0.006896577644020275,0.9655815999999999,0.0005321994926717195,2.2031782,0.03242230740092383,2.93094,0.14797669885323156,0.79736,0.9581616000000001,2.3586967999999997,0.05007917508505902,2.1849634,2.8964832,0.9654885999999999,0,30,10.34132,0.6808406,0.3485586,20.790366,0.9368418000000001,19,15,2.0,5.0,0.00826,5
angle_strong_5q_2L,ridge,2.3651156,0.026406436276029392,1.1937808,0.007334996298567547,0.9658932,0.0006458495954942128,2.2063742,0.0392889816195328,2.8374292,0.15211233756569492,0.7968046,0.9594322,2.3417638,0.05469797762897643,2.1888286,2.816301,0.9657386000000001,0,30,10.34132,0.6808406,0.3485586,26.516763000000005,,19,15,2.0,5.0,0.0206,5
angle_strong_6q_2L,lasso,2.2095652,0.15513735387455851,1.1548018,0.05103779584974252,0.9681443999999999,0.0026026334355801818,1.9631106000000003,0.2272995510450912,2.9425754,0.10655213149346204,0.8196754,0.9576796,2.1817158,0.1828869621424665,1.9478659999999999,2.9016554,0.9681278000000001,0,36,9.813640000000001,0.6090842000000001,0.4008134,19.29295,0.784,25,21,2.0,6.0,0.02134,5
angle_strong_6q_2L,ridge,2.1329986,0.125604448085249,1.1241264000000002,0.045722762939262564,0.9692774,0.0021017422058854152,1.8686969999999998,0.24475178608949924,2.9180979999999996,0.37986800367561907,0.8289159999999999,0.9581134,2.0720088,0.12698851620205667,1.8599964,2.7275292,0.9697495999999999,0,36,9.813640000000001,0.6090842000000001,0.4008134,77.8805946,,25,21,2.0,6.0,0.02258,5
angle_strong_7q_2L,lasso,2.108453,0.11493202763590304,1.1174316000000002,0.037950354442349975,0.9696322,0.0019251252426790424,1.8512728000000003,0.22798315150291265,2.8726118,0.24832133212472904,0.830373,0.9590088,2.0767062,0.10452613012400304,1.8283003999999998,2.8456941999999996,0.9696908000000001,0,42,12.835059999999999,0.6817074,0.2953032,40.7373204,0.70625,32,28,2.0,7.0,0.0189,5
angle_strong_7q_2L,ridge,2.0233917999999997,0.08943758887458891,1.0946134,0.03140263963108834,0.9708826,0.0015856157479035755,1.7731506,0.21414191388843062,2.7670144,0.3012256948017551,0.8383014,0.9603192,1.9862582,0.06803363476031543,1.7558548000000003,2.7015194,0.9710228000000001,0,42,12.835059999999999,0.6817074,0.2953032,86.383983,,32,28,2.0,7.0,0.02462,5
