augmenter_name,model_name,mse_mean,mse_std,mae_mean,mae_std,corr_mean,corr_std,mse_r1_mean,mse_r1_std,mse_r2_mean,mse_r2_std,corr_r1_mean,corr_r2_mean,mse_train_mean,mse_train_std,mse_train_r1_mean,mse_train_r2_mean,corr_train_mean,n_features,n_augmented,circuit_depth,qubit_count,wall_clock_mean,n_seeds
autoencoder_16,lasso,1.359146,0.33920051012270014,0.8998041999999999,0.11378736024576724,0.980537,0.004971762916712741,1.24837,0.4114224147837596,1.6893612,0.3679039280480707,0.8889166,0.9761313999999999,1.2516708,0.38784403974303905,1.2215026,1.3474586,0.9818566000000001,20,16,,,0.07483999999999999,5
autoencoder_16,ols,1.3595782,0.33838159182748107,0.8995380000000001,0.11381624141132059,0.9805303999999999,0.004964870169500915,1.2475396,0.41043137682236236,1.6936474000000001,0.377645373359452,0.8889786000000001,0.9760782000000001,1.2465026,0.38071090134812263,1.2183514,1.3362624,0.9819318000000001,20,16,,,0.0018599999999999999,5
autoencoder_16,ridge,1.3625538,0.3379591727786065,0.8994998000000001,0.11369284898664467,0.9804898,0.004954244160313484,1.247135,0.4106912532724553,1.7066296,0.39835839860143524,0.8890202,0.9759166,1.2500111999999999,0.38694793516466786,1.220435,1.3440606,0.9818802,20,16,,,0.02084,5
autoencoder_32,lasso,1.323133,0.34365081980041895,0.8961218000000001,0.11429546127777776,0.9810502,0.0050517666909705786,1.2459506,0.4091092609704649,1.5538178,0.1992169413847628,0.8891344,0.9779888,1.2309686,0.38327944115005697,1.210693,1.2957134,0.9821588,36,32,,,0.19397999999999999,5
autoencoder_32,ols,1.322701,0.3469999856412101,0.8958639999999999,0.11510259513798983,0.981056,0.0051024359378633935,1.245181,0.4076714563297264,1.5544256,0.2247542224148414,0.8891818,0.9779718000000001,1.2236015999999998,0.3748908860232535,1.2052102,1.2825604,0.9822664,36,32,,,0.0037400000000000003,5
autoencoder_32,ridge,1.3236994,0.3439618777783375,0.8959796000000001,0.11428893812963704,0.9810426,0.005057106217986713,1.2459622,0.4093349158546092,1.5560098,0.2067421767775023,0.889128,0.9779718000000001,1.2299944,0.38467511322842285,1.2100788000000002,1.2936657999999999,0.9821730000000001,36,32,,,0.027139999999999997,5
autoencoder_4,lasso,1.7580424000000001,0.5870036892936022,0.956353,0.13779030062199593,0.9749088,0.008192429352762187,1.4467514000000001,0.5292396775666012,2.6779698,2.436008813032129,0.8697256,0.964039,1.4361686,0.4378002181033034,1.4342454,1.4441918,0.9791698,8,4,,,0.00978,5
autoencoder_4,ols,1.7444728,0.5688712932700155,0.9558479999999999,0.1383415356066283,0.9750906,0.007968280134382827,1.4425754,0.5338986197344023,2.6365824,2.3275368332167807,0.8701214,0.9645006,1.434166,0.4388489142005481,1.4299806,1.4490282,0.9791985999999999,8,4,,,0.00098,5
autoencoder_4,ridge,1.7527888,0.5825744289682648,0.9558958000000001,0.13823992008171881,0.9749788,0.008142342488497979,1.44298,0.5336578025846711,2.668319,2.3989819647972555,0.870088,0.9641748,1.434259,0.43888358948302,1.4303116,1.4483926,0.9791972,8,4,,,0.01714,5
autoencoder_8,lasso,1.3504158,0.2995537449919463,0.8968963999999999,0.10427312089555969,0.9806625999999999,0.004384155939288629,1.2399381999999999,0.38147316205560255,1.6795322,0.41035017314569266,0.8898612,0.9763183999999999,1.2496866,0.33368084243824964,1.2192052,1.346864,0.9818861999999999,12,8,,,0.02878,5
autoencoder_8,ols,1.3497182,0.30006428359719856,0.8969258,0.10493763901575065,0.9806732,0.004394760539551638,1.2392446,0.3825533683942673,1.6789496,0.3934944749844652,0.8899174000000001,0.9763292,1.2482582,0.3328807672811693,1.2177352,1.3457002,0.9819068,12,8,,,0.0012,5
autoencoder_8,ridge,1.3514754,0.30049756087163165,0.8969332,0.1044285432901369,0.9806486,0.004396781698015025,1.240344,0.38363190030548816,1.6826292000000003,0.40813232101084584,0.8898136000000001,0.9762658,1.2507888,0.3377702933973027,1.2198639999999998,1.3493798,0.9818704,12,8,,,0.01824,5
identity,lasso,4.690855,0.06986927103169174,1.6344324000000001,0.012648675238933146,0.9312166,0.0005556026457820523,3.1723238,0.08889000535887023,9.2137806,0.4483017541955418,0.7784674,0.9354254,4.6849508,0.07799110457417538,3.1499918,9.4050448,0.9303172,4,0,,,0.0038,5
identity,ols,4.6819462000000005,0.06442531397439977,1.6415414,0.010551846914166378,0.9312244,0.0005782389644428469,3.227746,0.05601301606323295,9.0139994,0.2927856844166051,0.7774882,0.9352644,4.67629,0.0749967889545944,3.205117,9.2032196,0.930347,4,0,,,0.00092,5
identity,ridge,4.6824872,0.06457192379200087,1.6406711999999999,0.011112165572020554,0.93122,0.0005825714548448473,3.2200014,0.06166679426806618,9.0391742,0.30494131443558115,0.7767814,0.9354357999999999,4.6768484,0.07499242635959986,3.1974302000000003,9.2284164,0.9303432,4,0,,,0.0185,5
learned_rff_10,lasso,1.7453962,0.2047783327447023,1.018797,0.07699143027311546,0.9749196,0.0031868273094097965,1.5627904000000001,0.34513230009200824,2.2872228,0.3390038232493846,0.8598256,0.9673386,1.654478,0.23911897023971143,1.549338,1.9816698,0.9759254,14,10,,,0.0134,5
