augmenter_name,model_name,mse_mean,mse_std,mae_mean,mae_std,corr_mean,corr_std,mse_r1_mean,mse_r1_std,mse_r2_mean,mse_r2_std,corr_r1_mean,corr_r2_mean,mse_train_mean,mse_train_std,mse_train_r1_mean,mse_train_r2_mean,corr_train_mean,n_trainable_params,n_random_params,effective_rank,nonlinearity_score,feature_target_alignment,coef_l2_norm,n_features,n_augmented,circuit_depth,qubit_count,wall_clock_mean,n_seeds
unified_IQP_all_cnot,ridge,3.9978378,0.049053431309134934,1.4989864000000002,0.008895989534616174,0.9415825999999999,0.0006430954828017631,2.501478,0.048358262732443105,8.4563714,0.2590263826066762,0.7846864,0.9178374,4.0041684,0.055149616633300515,2.4886603999999997,8.6710226,0.9406694,0,0,2.45432,0.7899993999999999,0.4231234,4.6776964,8,4,12,4,0.01694,5
unified_IQP_all_cnot_2L,ridge,4.0863998,0.04128613195372041,1.511071,0.011487784142296552,0.9402414,0.0009749711790611837,2.5299191999999997,0.08355493221647668,8.7234322,0.2775931955005383,0.7868292,0.9147236,4.0479598,0.10722543103060952,2.5011582,8.8070284,0.9400082,0,0,2.95792,0.907608,0.2558242,6.505707799999999,8,4,16,4,0.016739999999999998,5
unified_IQP_all_cnot_2L_2ens,ridge,4.0862948,0.04114418987171812,1.5110568,0.011444306759258059,0.9402446,0.0009756068880445711,2.5301763999999998,0.08291327342349962,8.7222562,0.27545442117108965,0.7867168,0.9148847999999999,4.047964,0.10718113151809894,2.5013444,8.8064932,0.9400082,0,0,2.95792,0.907608,0.2558242,5.677231000000001,12,8,16,4,0.0184,5
unified_IQP_all_cnot_2L_3ens,ridge,4.0867816,0.0416298211177996,1.5109998,0.011452740204859334,0.9402374,0.0009813535550452681,2.5300868000000003,0.08332762703749577,8.7244514,0.27699108396896094,0.7866546,0.9149794,4.0484659999999995,0.10761050819274096,2.5012732,8.808722399999999,0.9400008,0,0,2.95792,0.907608,0.2558242,5.2794186,16,12,16,4,0.01956,5
unified_IQP_all_cnot_2ens,ridge,3.9976992000000005,0.049056044293236324,1.4990266,0.008887096224301868,0.9415850000000001,0.0006476777748232726,2.501867,0.04836986527270882,8.454668600000002,0.2587516339026668,0.7846298,0.9177744000000001,4.0040594,0.05517273074898486,2.4891614,8.6690404,0.9406712,0,0,2.45432,0.7899993999999999,0.4231234,4.5269788,12,8,12,4,0.01936,5
unified_IQP_all_cnot_3L,ridge,4.199743,0.04770542771006298,1.5330854,0.011209400688707594,0.938537,0.0009511301172815412,2.5975396,0.06761078438977017,8.9737296,0.2896530486250752,0.7827858,0.9105088,4.1823765999999996,0.07468847532785802,2.5636465999999998,9.164011400000001,0.9379438,0,0,2.3529600000000004,0.8714738000000001,0.2892668,5.0921840000000005,8,4,20,4,0.01668,5
unified_IQP_all_cnot_3L_2ens,ridge,4.1996576,0.0481463694976056,1.5331620000000001,0.011261692346179528,0.9385382,0.0009642145508132405,2.5980961999999996,0.06780171303661875,8.9717468,0.2900172458366921,0.7827126,0.9103463999999999,4.1821296,0.07480250759700544,2.5641128,9.1615608,0.9379476,0,0,2.3529600000000004,0.8714738000000001,0.2892668,4.928385400000001,12,8,20,4,0.01864,5
unified_IQP_all_cnot_3L_3ens,ridge,4.1996886,0.04833130242192928,1.5332012,0.011280985581942734,0.9385378,0.000969730735823079,2.5982916000000005,0.06786712663211847,8.9712946,0.2901491149138664,0.7826884,0.9102779999999999,4.182052799999999,0.07482904661760709,2.564279,9.1607352,0.9379488,0,0,2.3529600000000004,0.8714738000000001,0.2892668,4.867490399999999,16,12,20,4,0.01952,5
unified_IQP_all_cnot_3ens,ridge,3.9976998000000004,0.04904777205133782,1.4990494,0.00887997056864486,0.9415849999999999,0.000649994999980795,2.5020052,0.048379210878227524,8.4542622,0.2586414948035211,0.7846106,0.917743,4.004021,0.05518363194372031,2.4893398,8.6683386,0.940672,0,0,2.45432,0.7899993999999999,0.4231234,4.4732254,16,12,12,4,0.0204,5
unified_IQP_all_cnot_XYZ,ridge,3.9488126,0.041513808814658444,1.4918204,0.007009328769575607,0.9423161999999999,0.0006483738890486148,2.5333010000000002,0.04198004592660664,8.166625400000001,0.2328232911379362,0.7822428,0.9210982,3.9427598,0.05467812296247935,2.5171522000000004,8.332081200000001,0.9416084,0,0,4.5060400000000005,0.9049674,0.15016279999999999,4.9208368,16,12,12,4,0.02008,5
