reference,compared_to,feature_idx,mean_abs_diff,max_abs_diff,std_abs_diff,correlation
reservoir_3x3_Z_n100+50_exact,reservoir_3x3_Z_n100+50_s1000_packed,0,0.3763,0.885,0.2191,0.4399
reservoir_3x3_Z_n100+50_exact,reservoir_3x3_Z_n100+50_s1000_packed,1,0.1573,0.8312,0.1399,0.2135
reservoir_3x3_Z_n100+50_exact,reservoir_3x3_Z_n100+50_s1000_packed,2,0.1515,0.5704,0.1307,0.1091
reservoir_3x3_Z_n100+50_exact,reservoir_3x3_Z_n100+50_s1000_packed,3,0.3362,0.8644,0.1959,0.3593
reservoir_3x3_Z_n100+50_exact,reservoir_3x3_Z_n100+50_s1000_packed,4,0.2898,0.7616,0.1659,0.6241
reservoir_3x3_Z_n100+50_exact,reservoir_3x3_Z_n100+50_s1000_packed,5,0.1702,0.5764,0.127,0.3879
reservoir_3x3_Z_n100+50_exact,reservoir_3x3_Z_n100+50_s1000_packed,6,0.1656,0.5179,0.1286,0.0728
reservoir_3x3_Z_n100+50_exact,reservoir_3x3_Z_n100+50_s1000_packed,7,0.196,0.7635,0.1609,0.151
reservoir_3x3_Z_n100+50_exact,reservoir_3x3_Z_n100+50_s1000_packed,8,0.1796,0.7597,0.1586,0.2504
reservoir_3x3_Z_n100+50_exact,reservoir_3x3_Z_n100+50_s1000_packed,9,0.1465,0.6832,0.1383,0.0451
reservoir_3x3_Z_n100+50_exact,reservoir_3x3_Z_n100+50_s1000_packed,10,0.1771,0.6066,0.1307,0.1716
reservoir_3x3_Z_n100+50_exact,reservoir_3x3_Z_n100+50_s1000_packed,11,0.1869,0.7017,0.1639,0.1581
