source,n_train,n_test,strategy,n_features,k,ridge_mse
singleton_z+zz_n100+50,100,50,raw_only,4,,5.8074
singleton_z+zz_n100+50,100,50,exact_ideal,34,,2.1954
singleton_z+zz_n100+50,100,50,hw_baseline,34,,5.5135
singleton_z+zz_n100+50,100,50,hw_quantum_only,30,,31.6131
singleton_z+zz_n100+50,100,50,hw_damping_corrected,34,,5.7302
singleton_z+zz_n100+50,100,50,hw_top1,5,1,5.7219
singleton_z+zz_n100+50,100,50,hw_top2,6,2,5.7046
singleton_z+zz_n100+50,100,50,hw_top4,8,4,5.6961
singleton_z+zz_n100+50,100,50,hw_top8,12,8,5.623
singleton_z+zz_n100+50,100,50,hw_topall,34,30,5.5135
packed_z_n100+50,100,50,raw_only,4,,5.8074
packed_z_n100+50,100,50,exact_ideal,16,,2.8443
packed_z_n100+50,100,50,hw_baseline,16,,5.4565
packed_z_n100+50,100,50,hw_quantum_only,12,,35.011
packed_z_n100+50,100,50,hw_damping_corrected,16,,4.6392
packed_z_n100+50,100,50,hw_top1,5,1,5.7735
packed_z_n100+50,100,50,hw_top2,6,2,5.8643
packed_z_n100+50,100,50,hw_top4,8,4,5.6637
packed_z_n100+50,100,50,hw_top8,12,8,5.5571
packed_z_n100+50,100,50,hw_topall,16,12,5.4565
packed_z_n500+250,500,250,raw_only,4,,4.1296
packed_z_n500+250,500,250,exact_ideal,16,,1.9989
packed_z_n500+250,500,250,hw_baseline,16,,4.0708
packed_z_n500+250,500,250,hw_quantum_only,12,,30.1665
packed_z_n500+250,500,250,hw_damping_corrected,16,,4.1513
packed_z_n500+250,500,250,hw_top1,5,1,4.1451
packed_z_n500+250,500,250,hw_top2,6,2,4.1701
packed_z_n500+250,500,250,hw_top4,8,4,4.1169
packed_z_n500+250,500,250,hw_top8,12,8,4.077
packed_z_n500+250,500,250,hw_topall,16,12,4.0708
packed_z_n1000+500,1000,500,raw_only,4,,5.6635
packed_z_n1000+500,1000,500,exact_ideal,16,,2.5854
packed_z_n1000+500,1000,500,hw_baseline,16,,5.4288
packed_z_n1000+500,1000,500,hw_quantum_only,12,,27.3021
packed_z_n1000+500,1000,500,hw_damping_corrected,16,,5.4411
packed_z_n1000+500,1000,500,hw_top1,5,1,5.6541
packed_z_n1000+500,1000,500,hw_top2,6,2,5.5858
packed_z_n1000+500,1000,500,hw_top4,8,4,5.4597
packed_z_n1000+500,1000,500,hw_top8,12,8,5.4621
packed_z_n1000+500,1000,500,hw_topall,16,12,5.4288
