source,sigma,ridge_mse
singleton_z+zz_n100+50,0.0,2.1954
singleton_z+zz_n100+50,0.025,2.261
singleton_z+zz_n100+50,0.05,2.392
singleton_z+zz_n100+50,0.075,2.5727
singleton_z+zz_n100+50,0.1,2.9986
singleton_z+zz_n100+50,0.125,3.282
singleton_z+zz_n100+50,0.15,3.6157
singleton_z+zz_n100+50,0.175,3.9729
singleton_z+zz_n100+50,0.2,4.1678
singleton_z+zz_n100+50,0.225,4.4002
singleton_z+zz_n100+50,0.25,4.5711
singleton_z+zz_n100+50,0.275,4.7428
singleton_z+zz_n100+50,0.3,4.8891
singleton_z+zz_n100+50,0.325,5.0318
singleton_z+zz_n100+50,0.35,5.1707
singleton_z+zz_n100+50,0.375,5.2862
singleton_z+zz_n100+50,0.4,5.411
singleton_z+zz_n100+50,0.425,5.5284
singleton_z+zz_n100+50,0.45,5.5995
singleton_z+zz_n100+50,0.475,5.7113
singleton_z+zz_n100+50,0.5,5.8206
singleton_z+zz_n100+50,0.525,5.9248
singleton_z+zz_n100+50,0.55,6.025
singleton_z+zz_n100+50,0.575,6.1173
singleton_z+zz_n100+50,0.6,6.2053
singleton_z+zz_n100+50,0.625,6.2874
singleton_z+zz_n100+50,0.65,6.3619
singleton_z+zz_n100+50,0.675,6.4327
singleton_z+zz_n100+50,0.7,6.4997
singleton_z+zz_n100+50,0.725,6.5637
singleton_z+zz_n100+50,0.75,6.6241
singleton_z+zz_n100+50,0.775,6.6789
singleton_z+zz_n100+50,0.8,6.7301
packed_z_n100+50,0.0,2.8443
packed_z_n100+50,0.025,2.931
packed_z_n100+50,0.05,3.0432
packed_z_n100+50,0.075,3.1019
packed_z_n100+50,0.1,3.2816
packed_z_n100+50,0.125,3.4645
packed_z_n100+50,0.15,3.7039
packed_z_n100+50,0.175,3.8897
packed_z_n100+50,0.2,4.1173
packed_z_n100+50,0.225,4.4225
packed_z_n100+50,0.25,4.5453
packed_z_n100+50,0.275,4.7938
packed_z_n100+50,0.3,4.9188
packed_z_n100+50,0.325,5.0042
packed_z_n100+50,0.35,5.0824
packed_z_n100+50,0.375,5.1576
packed_z_n100+50,0.4,5.2396
packed_z_n100+50,0.425,5.3219
packed_z_n100+50,0.45,5.4218
packed_z_n100+50,0.475,5.5016
packed_z_n100+50,0.5,5.5518
packed_z_n100+50,0.525,5.5958
packed_z_n100+50,0.55,5.6366
packed_z_n100+50,0.575,5.6756
packed_z_n100+50,0.6,5.7122
packed_z_n100+50,0.625,5.7466
packed_z_n100+50,0.65,5.7787
packed_z_n100+50,0.675,5.8092
packed_z_n100+50,0.7,5.8376
packed_z_n100+50,0.725,5.863
packed_z_n100+50,0.75,5.8869
packed_z_n100+50,0.775,5.9084
packed_z_n100+50,0.8,5.9287
packed_z_n500+250,0.0,1.9989
packed_z_n500+250,0.025,2.133
packed_z_n500+250,0.05,2.3958
packed_z_n500+250,0.075,2.6623
packed_z_n500+250,0.1,2.8914
packed_z_n500+250,0.125,3.0895
packed_z_n500+250,0.15,3.2521
packed_z_n500+250,0.175,3.3905
packed_z_n500+250,0.2,3.4972
packed_z_n500+250,0.225,3.5881
packed_z_n500+250,0.25,3.6727
packed_z_n500+250,0.275,3.7357
packed_z_n500+250,0.3,3.7778
packed_z_n500+250,0.325,3.8096
packed_z_n500+250,0.35,3.8531
packed_z_n500+250,0.375,3.8824
packed_z_n500+250,0.4,3.9153
packed_z_n500+250,0.425,3.9444
packed_z_n500+250,0.45,3.9702
packed_z_n500+250,0.475,3.9928
packed_z_n500+250,0.5,4.0132
packed_z_n500+250,0.525,4.0319
packed_z_n500+250,0.55,4.0489
packed_z_n500+250,0.575,4.0639
packed_z_n500+250,0.6,4.0776
packed_z_n500+250,0.625,4.0898
packed_z_n500+250,0.65,4.101
packed_z_n500+250,0.675,4.1116
packed_z_n500+250,0.7,4.1215
packed_z_n500+250,0.725,4.1303
packed_z_n500+250,0.75,4.1381
packed_z_n500+250,0.775,4.1452
packed_z_n500+250,0.8,4.1516
packed_z_n1000+500,0.0,2.5854
packed_z_n1000+500,0.025,2.7408
packed_z_n1000+500,0.05,3.0191
packed_z_n1000+500,0.075,3.3073
packed_z_n1000+500,0.1,3.5791
packed_z_n1000+500,0.125,3.8245
packed_z_n1000+500,0.15,4.0412
packed_z_n1000+500,0.175,4.2308
packed_z_n1000+500,0.2,4.3957
packed_z_n1000+500,0.225,4.5385
packed_z_n1000+500,0.25,4.6623
packed_z_n1000+500,0.275,4.7693
packed_z_n1000+500,0.3,4.8624
packed_z_n1000+500,0.325,4.9441
packed_z_n1000+500,0.35,5.0154
packed_z_n1000+500,0.375,5.0785
packed_z_n1000+500,0.4,5.1343
packed_z_n1000+500,0.425,5.1834
packed_z_n1000+500,0.45,5.2267
packed_z_n1000+500,0.475,5.2655
packed_z_n1000+500,0.5,5.3017
packed_z_n1000+500,0.525,5.3347
packed_z_n1000+500,0.55,5.3627
packed_z_n1000+500,0.575,5.388
packed_z_n1000+500,0.6,5.4111
packed_z_n1000+500,0.625,5.4322
packed_z_n1000+500,0.65,5.4514
packed_z_n1000+500,0.675,5.4689
packed_z_n1000+500,0.7,5.483
packed_z_n1000+500,0.725,5.4976
packed_z_n1000+500,0.75,5.5108
packed_z_n1000+500,0.775,5.523
packed_z_n1000+500,0.8,5.5343
